Manufacturer,Model,Glass Diameter (mm),Image Diameter (mm),Closest Production Size (mm),Undercut (mm),Production Review,Notes
"Chauvet","Maverick Force 2 SoloWash","28","22","27.8","0.2","",""
"Chauvet","Maverick Force 3 Profile","27","22","26.5","0.5","",""
"Chauvet","Maverick Force S Profile","25.5","17","25.5","0","","High-temperature glass gobos only."
"Chauvet","Maverick Force S Spot","25.5","17.5","25.5","0","","High-temperature glass gobos only."
"Chauvet","Maverick MK1 Hybrid","22","13","21.4","0.6","","1.1mm Maximum Thickness."
"Chauvet","Maverick MK1 Spot","26","22","25.5","0.5","","1.2mm Maximum Thickness."
"Chauvet","Maverick MK2 Profile","32","26","31.5","0.5","","1.1mm Maximum Thickness. GoboPlus lists image 25mm - verify."
"Chauvet","Maverick MK2 Spot","32","28","31.5","0.5","","3.3mm Maximum Thickness. GoboPlus lists image 25mm - verify."
"Chauvet","Maverick MK3 Profile","32","28","31.5","0.5","","GoboPlus lists glass 30mm/1.1mm Maximum Thickness; image 23mm - verify."
"Chauvet","Maverick MK3 Profile CX","30","23","29.9","0.1","","Glass gobos only."
"Chauvet","Maverick MK3 Spot","30","21","29.9","0.1","","1.1mm Maximum Thickness. GoboPlus lists image 23mm - verify."
"Chauvet","Maverick Silens 1X Profile","22.9","15","22.5","0.4","",""
"Chauvet","Maverick Silens 2X Profile","26.9","22","26.5","0.4","",""
"Chauvet","Maverick Storm 1 Flex","23.9","17","23.7","0.2","","Glass gobos only."
"Chauvet","Maverick Storm 1 Hybrid","16","10","16","0","","Glass gobos only."
"Chauvet","Maverick Storm 1 Spot","30","25","29.9","0.1","","1.1mm Maximum Thickness."
"Chauvet","Maverick Storm 2 Profile","25.5","18","25.5","0","","Glass gobos only."
"Chauvet","Maverick Storm 4 Profile","30","25","29.9","0.1","","1.1mm Maximum Thickness."
"Chauvet","Maverick Storm 4 SoloWash","30","26","29.9","0.1","","0.6mm Maximum Thickness."
"Chauvet","Obsession","18.6","12","16","2.6","Nearest size is 2.6 mm under the holder",""
"Chauvet","Obsession HP","18.5","12","16","2.5","Nearest size is 2.5 mm under the holder",""
"Chauvet","Outcast R3 Spot","25.5","14.8","25.5","0","","2.2mm Maximum Thickness. (Rotating Wheel only)"
"Chauvet","Ovation E 190, ED 190","94","68","86","8","Nearest size is 8 mm under the holder",""
"Chauvet","Ovation E 190, ED 190","86","64.5","86","0","",""
"Chauvet","Ovation E-2 FC","65.5","48","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Chauvet","Ovation E-4WW IP","86","64.5","86","0","",""
"Chauvet","Ovation E-260WW","86","64.5","86","0","",""
"Chauvet","Ovation E-910FC","86","64.5","86","0","",""
"Chauvet","Ovation ETD-40WW","37.5","20","37.5","0","","1mm Maximum Thickness."
"Chauvet","Ovation Min-E-10","37.5","28","37.5","0","","1mm Maximum Thickness."
"Chauvet","Ovation Mini E 10 - Glass","37.5","20","37.5","0","",""
"Chauvet","Ovation Mini E 10 - Metal","37.5","28","37.5","0","",""
"Chauvet","Ovation Reve E 3 IP","86","64.5","86","0","",""
"Chauvet","Q Spot 460","32.7","31","32.7","0","",""
"Chauvet","Q Spot 560","32.5","27","31.5","1","Nearest size is 1 mm under the holder",""
"Chauvet","Q-Scan 150","27.7","21.5","26.5","1.2","Nearest size is 1.2 mm under the holder",""
"Chauvet","Q-Scan 250","27.7","21.5","26.5","1.2","Nearest size is 1.2 mm under the holder",""
"Chauvet","Q-Spot","27","19","26.5","0.5","",""
"Chauvet","Q-Spot 150","27","19","26.5","0.5","",""
"Chauvet","Q-Spot 150 LED","25.7","18","25.5","0.2","","1.2mm Maximum Thickness."
"Chauvet","Q-Spot 152","25","21","25","0","",""
"Chauvet","Q-Spot 160 LED","25.8","18.2","25.5","0.3","","1.2mm Maximum Thickness."
"Chauvet","Q-Spot 200","25.6","20.5","25.5","0.1","","GoboPlus lists image 20mm - verify."
"Chauvet","Q-Spot 250","37.2","30","35.3","1.9","Nearest size is 1.9 mm under the holder","GoboPlus lists image 31mm - verify."
"Chauvet","Q-Spot 260 LED","25.95","19","25.5","0.45","","1.1mm Maximum Thickness. GoboPlus lists image 20mm - verify."
"Chauvet","Q-Spot 300","37","28","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Chauvet","Q-Spot 560 LED","32.5","27","31.5","1","Nearest size is 1 mm under the holder","1mm Maximum Thickness."
"Chauvet","Q-Spot 575","31","22.5","30.8","0.2","","GoboPlus lists image 21mm - verify."
"Chauvet","Rogue Outcast 1 Hybrid","15.9","12","","","No production size at or below 15.9 mm","Glass gobos only. 1.1mm Maximum Thickness."
"Chauvet","Rogue Outcast 1L Beam","9.8","5","","","No production size at or below 9.8 mm","Metal gobos only."
"Chauvet","Rogue Outcast 2 Hybrid","16","12","16","0","",""
"Chauvet","Rogue Outcast 3 Spot","25.5","14.8","25.5","0","","Glass gobos only."
"Chauvet","Rogue R1 Spot","25","23","25","0","","3mm Maximum Thickness. Needs Special Holder."
"Chauvet","Rogue R1 Spot Glass","25.9","22.5","25.5","0.4","",""
"Chauvet","Rogue R1 Spot Metal","26.8","22","26.5","0.3","","Gobo wheel 1 : Positions 1, 2, 3, 4 & 7 METAL."
"Chauvet","Rogue R1E Spot","20","16","20","0","",""
"Chauvet","Rogue R1X Spot","25","23","25","0","","3mm Maximum Thickness. Needs Special Holder. GoboPlus lists glass 26.9mm; image 22.5mm - Gobo Wheel 1 (rotating): Positions 1, 2, 3, 4, and 7 - verify."
"Chauvet","Rogue R2 Spot","27","24","26.5","0.5","","3mm Maximum Thickness. Needs Special Holder."
"Chauvet","Rogue R2 Spot Glass","27","24","26.5","0.5","","Gobo Wheel 1 (rotating): Position 5 and 6."
"Chauvet","Rogue R2 Spot Metal","28.8","23.8","27.8","1","Nearest size is 1 mm under the holder","Gobo Wheel 1 (rotating): Position 1, 2, 3, 4, and 7."
"Chauvet","Rogue R2E Spot","20","16","20","0","","1.5mm Maximum Thickness."
"Chauvet","Rogue R2X Spot","29","27.5","27.8","1.2","Nearest size is 1.2 mm under the holder","Metal gobos only. GoboPlus lists glass 27mm; image 23.8mm - Gobo Wheel 1 (rotating): Positions 1, 2, 3, 4, and 7; image 24mm - Gobo Wheel 1: Positions 5 and 6 - verify."
"Chauvet","Rogue R3 Spot","27","24","26.5","0.5","","3mm Maximum Thickness. Needs Special Holder. GoboPlus lists glass 28.8mm - verify."
"Chauvet","Rogue R3E Spot","20","16","20","0","","1.5mm Maximum Thickness."
"Chauvet","Rogue RH1 Hybrid","15.6","14.4","","","No production size at or below 15.6 mm","1.1mm Maximum Thickness. GoboPlus lists image 12mm - verify."
"Chauvet","Scanner ZX30 RG","25","18","25","0","",""
"Chauvet","SX - Gobo","51","40.5","50","1","Nearest size is 1 mm under the holder","4mm Maximum Thickness. GoboPlus lists image 40mm - verify."
"Chauvet","Trackscan 250 R","26.8","18","26.5","0.3","",""
"Chauvet","Well Gobo","37.5","24","37.5","0","","1.1mm Maximum Thickness."
"Cindy","X250","23.7","18","23.7","0","",""
"Clay Paky","Alpha Beam 300","31.5","23","31.5","0","","Gobo holder: Fixed."
"Clay Paky","Alpha Beam 700 (fixed)","31.5","23","31.5","0","",""
"Clay Paky","Alpha Beam 700 (rotating)","25.7","23","25.5","0.2","",""
"Clay Paky","Alpha Beam 700, HPE 700","31.5","23","31.5","0","","Gobo holder: Fixed."
"Clay Paky","Alpha Beam 700, HPE 700","25.7","23","25.5","0.2","","Gobo holder: Rotating."
"Clay Paky","Alpha Beam 1500","31.5","23","31.5","0","","Gobo holder: Fixed."
"Clay Paky","Alpha Beam 1500","37.4","25","35.3","2.1","Nearest size is 2.1 mm under the holder","Gobo holder: Rotating."
"Clay Paky","Alpha Beam 1500 (fixed)","31.5","23","31.5","0","",""
"Clay Paky","Alpha Beam 1500 (rotating)","37.4","25","35.3","2.1","Nearest size is 2.1 mm under the holder",""
"Clay Paky","Alpha Profile 700","25.7","20.5","25.5","0.2","",""
"Clay Paky","Alpha Profile 700, 700 ST, 800 ST","25.7","19","25.5","0.2","","Gobo holder: Rotating."
"Clay Paky","Alpha Profile 800 ST","25.7","20.5","25.5","0.2","",""
"Clay Paky","Alpha Profile 1200 (fixed)","31.5","23","31.5","0","",""
"Clay Paky","Alpha Profile 1200 (rotating)","37.5","25","37.5","0","",""
"Clay Paky","Alpha Profile 1200, 1500","31.5","25","31.5","0","","Gobo holder: Fixed."
"Clay Paky","Alpha Profile 1200, 1500","37.5","25","37.5","0","","Gobo holder: Rotating."
"Clay Paky","Alpha Profile 1500 (fixed)","31.5","23","31.5","0","",""
"Clay Paky","Alpha Profile 1500 (rotating)","37.5","25","37.5","0","",""
"Clay Paky","Alpha Spot 300 (fixed)","31.5","25","31.5","0","",""
"Clay Paky","Alpha Spot 300 (rotating)","25.7","23","25.5","0.2","",""
"Clay Paky","Alpha Spot 300, HPE 300","31.5","25","31.5","0","","Gobo holder: Fixed."
"Clay Paky","Alpha Spot 300, HPE 300","25.7","23","25.5","0.2","","Gobo holder: Rotating."
"Clay Paky","Alpha Spot 575","37.5","25","37.5","0","",""
"Clay Paky","Alpha Spot 575, HPE 500","37.5","25","37.5","0","","Gobo holder: Fixed and Rotating."
"Clay Paky","Alpha Spot 700 (fixed)","31.5","25","31.5","0","",""
"Clay Paky","Alpha Spot 700 (rotating)","37.5","25","37.5","0","",""
"Clay Paky","Alpha Spot 700, HPE 700","25.7","23","25.5","0.2","",""
"Clay Paky","Alpha Spot 1200","31.5","25","31.5","0","","Gobo holder: Fixed."
"Clay Paky","Alpha Spot 1200","37.5","25","37.5","0","","Gobo holder: Rotating."
"Clay Paky","Alpha Spot Easy 1200","37.5","25","37.5","0","","GoboPlus lists glass 31.5mm; image 28mm - verify."
"Clay Paky","Alpha Spot HPE 300 (fixed)","31.5","25","31.5","0","",""
"Clay Paky","Alpha Spot HPE 300 (rotating)","25.7","23","25.5","0.2","",""
"Clay Paky","Alpha Spot HPE 575","37.5","25","37.5","0","",""
"Clay Paky","Alpha Spot HPE 700 (fixed)","31.5","23","31.5","0","",""
"Clay Paky","Alpha Spot HPE 700 (rotating)","25.7","23","25.5","0.2","",""
"Clay Paky","Alpha Spot HPE 1200","37.5","25","37.5","0","",""
"Clay Paky","Alpha Spot HPE 1200, 1500","31.5","25","31.5","0","","Gobo holder: Fixed."
"Clay Paky","Alpha Spot HPE 1200, 1500","37.5","25","37.5","0","","Gobo holder: Rotating."
"Clay Paky","Alpha Spot HPE 1500 (fixed)","31.5","23","31.5","0","",""
"Clay Paky","Alpha Spot HPE 1500 (rotating)","37.5","25","37.5","0","",""
"Clay Paky","Alpha Spot QWO 800 (fixed)","31.5","19","31.5","0","",""
"Clay Paky","Alpha Spot QWO 800 (rotating)","25.7","19","25.5","0.2","",""
"Clay Paky","Alpha Spot QWO 800, QWO 800 ST","31.5","25","31.5","0","","Gobo holder: Fixed."
"Clay Paky","Alpha Spot QWO 800, QWO 800 ST","25.7","19","25.5","0.2","","Gobo holder: Rotating."
"Clay Paky","Arolla Aqua","26.95","20.5","26.5","0.45","","Glass gobos only."
"Clay Paky","Arolla Aqua MLT","19.7","13.5","16","3.7","Nearest size is 3.7 mm under the holder","High-temperature glass gobos only."
"Clay Paky","Arolla Profile HP","31.9","24","31.5","0.4","","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","Arolla Profile MP","22.9","17","22.5","0.4","","Glass gobos only."
"Clay Paky","Arolla Spot MP","22.9","17","22.5","0.4","","Glass gobos only."
"Clay Paky","Astro Scan","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder",""
"Clay Paky","Astro Scan","66","48","66","0","","Gobo holder: Metal holder."
"Clay Paky","Axcor Profile 400","22.9","17.5","22.5","0.4","","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","Axcor Profile 600","25","20","25","0","","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","Axcor Profile 900","32.8","23","32.7","0.1","","1.1mm Maximum Thickness. GoboPlus lists image 26mm - verify."
"Clay Paky","Axcor Spot 300","22.9","18","22.5","0.4","","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","Axcor Spot 400","22.9","15","22.5","0.4","","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","Axcor Spot 600","25","20","25","0","","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","Combicolor","37.5","23","37.5","0","",""
"Clay Paky","Golden Scan","66","43","66","0","",""
"Clay Paky","Golden Scan 3, 4, HPE","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder","Gobo holder: Glass holder."
"Clay Paky","Golden Scan 3, 4, HPE","66","45","66","0","","Gobo holder: Metal holder."
"Clay Paky","Golden Scan HPE","51.8","36","50","1.8","Nearest size is 1.8 mm under the holder",""
"Clay Paky","Golden Spot 1200","51.8","36","50","1.8","Nearest size is 1.8 mm under the holder","GoboPlus lists glass G-66mm; image 45mm - verify."
"Clay Paky","Mini Scan 150, 300","37.5","25","37.5","0","",""
"Clay Paky","Mini Scan HP3, HPE","25.8","20","25.5","0.3","",""
"Clay Paky","Mini Xytlos HPE","19","14.5","16","3","Nearest size is 3 mm under the holder","Glass gobos only."
"Clay Paky","Mini-B Spot","15.9","12.5","","","No production size at or below 15.9 mm","Glass gobos only."
"Clay Paky","MiniScan HP3","25.8","19","25.5","0.3","",""
"Clay Paky","Mythos","25.9","13","25.5","0.4","",""
"Clay Paky","Mythos 2","25.9","13","25.5","0.4","",""
"Clay Paky","Pinter MH","31.5","27","31.5","0","",""
"Clay Paky","Piper 150W HTI","66","45","66","0","","Gobo holder: Metal holder."
"Clay Paky","Piper 150W HTI","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder","Gobo holder: Glass holder."
"Clay Paky","Point","31.5","23","31.5","0","",""
"Clay Paky","Profile Plus SV","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder",""
"Clay Paky","Rain Spot 575","53.3","40","53.3","0","","Gobo holder: Metal holder."
"Clay Paky","Rain Spot 575","51.8","35","50","1.8","Nearest size is 1.8 mm under the holder","Gobo holder: Glass holder."
"Clay Paky","Rhapsodya","32.8","27","32.7","0.1","","Glass gobos only."
"Clay Paky","S.I.P. 300","31.5","24","31.5","0","",""
"Clay Paky","Scenius","32.8","23","32.7","0.1","","Gobo holder: Integral. Flat edge."
"Clay Paky","Scenius Profile","32.8","23","32.7","0.1","","High Intensity (Heavy Matted)."
"Clay Paky","Scenius Profile - Fixed","31.8","23","31.5","0.3","","1.1mm Maximum Thickness."
"Clay Paky","Scenius Profile - Rotating","32.8","23","32.7","0.1","","1.1mm Maximum Thickness."
"Clay Paky","Scenius Spot","32.8","26","32.7","0.1","",""
"Clay Paky","Scenius Unico","32.8","23","32.7","0.1","",""
"Clay Paky","Sharpy","15.9","12","","","No production size at or below 15.9 mm","Gobo holder: Fixed gobo wheel."
"Clay Paky","Sharpy Plus","15.9","12","","","No production size at or below 15.9 mm","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","Sharpy Plus Aqua","15.9","12","","","No production size at or below 15.9 mm","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","Sharpy X Frame","19","13.5","16","3","Nearest size is 3 mm under the holder","Glass gobos only."
"Clay Paky","Sharpy X Spot","19","14","16","3","Nearest size is 3 mm under the holder","Glass gobos only."
"Clay Paky","Silverado","37.5","28","37.5","0","",""
"Clay Paky","Sinfonya Profile 600","32.9","22","32.7","0.2","","Glass gobos only."
"Clay Paky","Skylos","25.9","16","25.5","0.4","","Glass gobos only."
"Clay Paky","Spheriscan (fixed)","31.5","25","31.5","0","",""
"Clay Paky","Spheriscan (rotating)","32.8","26","32.7","0.1","",""
"Clay Paky","Stage Light 300","25.5","23","25.5","0","",""
"Clay Paky","Stage Light 300, 300 AE","25.5","23","25.5","0","",""
"Clay Paky","Stage Line SV Plus","53.3","40","53.3","0","","Gobo holder: Metal holder."
"Clay Paky","Stage Line SV Plus","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder","Gobo holder: Glass holder."
"Clay Paky","Stage Profile Plus","51.8","48.7","50","1.8","Nearest size is 1.8 mm under the holder","GoboPlus lists glass G-66mm; image 42mm; image 45mm - verify."
"Clay Paky","Stage Scan","51.8","36","50","1.8","Nearest size is 1.8 mm under the holder",""
"Clay Paky","Stage Scan 300","25.5","23","25.5","0","",""
"Clay Paky","Stage Scan (not 300)","66","45","66","0","","Gobo holder: Metal holder."
"Clay Paky","Stage Scan (not 300)","51.8","35","50","1.8","Nearest size is 1.8 mm under the holder","Gobo holder: Glass holder."
"Clay Paky","Stage Zoom 1200","51.8","36","50","1.8","Nearest size is 1.8 mm under the holder","GoboPlus lists glass G-66mm; image 45mm - verify."
"Clay Paky","Studio Spot","25.5","23","25.5","0","",""
"Clay Paky","Super Scan","66","57","66","0","",""
"Clay Paky","Super Scan & Tiger Scan","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder","Gobo holder: Glass holder."
"Clay Paky","Super Scan & Tiger Scan","66","45","66","0","","Gobo holder: Metal holder."
"Clay Paky","Super Scan Zoom","51.8","36","50","1.8","Nearest size is 1.8 mm under the holder",""
"Clay Paky","Supersharpy","25.9","16","25.5","0.4","","High Intensity (Heavy Matted). GoboPlus lists image 18mm - verify."
"Clay Paky","Supersharpy 2","25.9","16","25.5","0.4","",""
"Clay Paky","Tiger Scan","51.8","36","50","1.8","Nearest size is 1.8 mm under the holder",""
"Clay Paky","Ultimo Hybrid","19","13.5","16","3","Nearest size is 3 mm under the holder","Glass gobos only. 1.1mm Maximum Thickness."
"Clay Paky","V.I.P. 150","51.8","33","50","1.8","Nearest size is 1.8 mm under the holder",""
"Clay Paky","V.I.P. 250 ALO","31.5","24","31.5","0","",""
"Clay Paky","V.I.P. 250 ALO/ST","31.5","24","31.5","0","",""
"Clay Paky","V.I.P. 300","51.8","33","50","1.8","Nearest size is 1.8 mm under the holder","GoboPlus lists glass 31.5mm; image 23mm - verify."
"Clay Paky","V.I.P. 300 DIA","51.8","33","50","1.8","Nearest size is 1.8 mm under the holder",""
"Clay Paky","V.I.P. 1200","31.5","24","31.5","0","","GoboPlus lists glass 51.8mm; image 40mm - verify."
"Clay Paky","VIP 8","31.5","23","31.5","0","",""
"Clay Paky","VIP/SIP","53.3","40","53.3","0","","Gobo holder: Static / Metal holder."
"Clay Paky","VIP/SIP","51.8","40","50","1.8","Nearest size is 1.8 mm under the holder","Gobo holder: Static / Glass holder."
"Clay Paky","VIP/SIP","31.5","23","31.5","0","","Gobo holder: Gobo Changer."
"Clay Paky","Xtylos","25.9","11","25.5","0.4","","Glass gobos only. Flat edge."
"Clay Paky","Xtylos Aqua (IP66)","25.9","11","25.5","0.4","","Flat edge."
"CLS","Topaz Profile Zoom Framing / Gobo","30","15","29.9","0.1","",""
"Coeff","Compact 1200","50","40","50","0","",""
"Coeff","MH 660 & MH 860","27","23","26.5","0.5","",""
"Coeff","MH 680","37.5","28","37.5","0","",""
"Coeff","MP 250 & MP 700 Zoom","25","18","25","0","",""
"Coeff","Optic 200-250","25","18","25","0","",""
"Coeff","Performance 250 DVP, 1200 DVP","25","18","25","0","",""
"Coeff","Show 250","25","18","25","0","",""
"Coeff","ShowScan","25","18","25","0","",""
"Coemar","Accento","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH41 metal."
"Coemar","Centro","37.5","28","37.5","0","",""
"Coemar","CF 7 HE","25.8","19.5","25.5","0.3","","GoboPlus lists image 19mm - verify."
"Coemar","CF 1200 HE","53.3","40","53.3","0","","Gobo holder: Rotating / Metal."
"Coemar","CF 1200 HE","50","35","50","0","","Gobo holder: Rotating / Static / Glass."
"Coemar","Clubscan","32.9","28","32.7","0.2","",""
"Coemar","Digiscan","26.5","21.5","26.5","0","",""
"Coemar","EHP HTI 2500","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Coemar","High Spot","32.9","28","32.7","0.2","",""
"Coemar","I Profile Flex","32.8","28","32.7","0.1","",""
"Coemar","I Spot 150","32.9","29","32.7","0.2","",""
"Coemar","I Spot 150W, 575W, 1200W","32.9","24","32.7","0.2","",""
"Coemar","I Spot 575","32.9","26","32.7","0.2","",""
"Coemar","I Spot 1200","32.8","28","32.7","0.1","",""
"Coemar","I Spot eXtreme","32.9","24","32.7","0.2","",""
"Coemar","I Spot Flex","32.8","28","32.7","0.1","","GoboPlus lists 32.9 mm / 24 mm - verify."
"Coemar","I Spot XL","32.9","24","32.7","0.2","",""
"Coemar","Inciso","100","75","100","0","",""
"Coemar","Infinity Spot S","27","21","26.5","0.5","",""
"Coemar","Infinity Spot XL","32.8","25","32.7","0.1","",""
"Coemar","Jupiter","38.8","25","37.5","1.3","Nearest size is 1.3 mm under the holder",""
"Coemar","LEDko","86","64.5","86","0","",""
"Coemar","LEDko Basic","86","64.5","86","0","",""
"Coemar","LEDko EXT","86","64.5","86","0","",""
"Coemar","LEDko HD","86","64.5","86","0","",""
"Coemar","LX 250","25.8","19","25.5","0.3","",""
"Coemar","Micro Scan","27.5","20","26.5","1","Nearest size is 1 mm under the holder",""
"Coemar","MiniLEDko Profile","26","22","25.5","0.5","",""
"Coemar","Nat","50","35","50","0","",""
"Coemar","NAT MM 1200 Zoom BBI","50","37.5","50","0","",""
"Coemar","NAT MM 2500 Zoom","50","37.5","50","0","",""
"Coemar","NAT MM 4000 Zoom","50","37.5","50","0","",""
"Coemar","Pro Spot 150, 150 LX","32.9","26","32.7","0.2","",""
"Coemar","Pro Spot 250 Evo","27","23","26.5","0.5","",""
"Coemar","Pro Spot 575 EB, 575 LX, 575MB","32.9","26","32.7","0.2","",""
"Coemar","Proscan","27.9","23","27.8","0.1","",""
"Coemar","ProSpot 150","32.9","26","32.7","0.2","",""
"Coemar","ProSpot 250 LX","25.8","19","25.5","0.3","",""
"Coemar","ProSpot 575","32.9","26","32.7","0.2","",""
"Coemar","Tas KP 12, Pro Spot 575","27.5","20","26.5","1","Nearest size is 1 mm under the holder",""
"Coemar","Tas Mini Sagamatore","37.5","28","37.5","0","",""
"Coemar","Tas Mini Ultrascan","27.5","20","26.5","1","Nearest size is 1 mm under the holder",""
"Coemar","Testa","86","64.5","86","0","","Gobo holder: GH43 metal."
"Coemar","Tourlight","53.3","35","53.3","0","",""
"Coemar","Unknown","26.8","21","26.5","0.3","",""
"Coemar","Zenith","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"CoeTech","Genesis 575","40","30","37.5","2.5","Nearest size is 2.5 mm under the holder",""
"CoeTech","HQI 150W","45","25","44","1","Nearest size is 1 mm under the holder","Square gobo, not round."
"CoeTech","Promo Scan","53.3","40","53.3","0","",""
"Colfine","DS-FS-35","37","23","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Colfine","DS-FS-80","37","23","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Colfine","DS-FS-100","37","23","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Colfine","DS-FS-120","37","23","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Colortran","5/50","86","59","86","0","",""
"Colortran","Windsor","100","75","100","0","",""
"Concord","2055220","53.3","40","53.3","0","",""
"Concord","Beacon Muse Projector","53.3","20","53.3","0","",""
"Concord","Control Spot Projector","53.3","40","53.3","0","",""
"Concord","Myriad","53.3","40","53.3","0","",""
"Concord","Torus FX 50","53.3","40","53.3","0","",""
"Constella","Astrascan","20","14","20","0","",""
"Constella","Chameleon","26","18","25.5","0.5","",""
"Constella","Chameleon Event 3","27","18","26.5","0.5","",""
"Contest","Evo 575","27","22","26.5","0.5","",""
"Contest","Evora SP60","27","22","26.5","0.5","",""
"Contest","Gaya 22W LED","27","22","26.5","0.5","",""
"Contest","MSP 575","27","22","26.5","0.5","",""
"Contest","MVH 930","27","22","26.5","0.5","",""
"Contest","SFX-DE50W","25.8","19","25.5","0.3","",""
"Custom (Electronics)","Caleidos 150-300","70","35","70","0","",""
"Cyclops Lighting","Sparkly LED 600p","26.9","19","26.5","0.4","",""
"DAGE","HM-3826","25.3","20","25","0.3","",""
"Dedolite","10-150W, DLH 4","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: Calumet stock these."
"Dedolite","DLED4 Bicolor","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Dedolite","DP1S Projection Imager","50","37","50","0","",""
"Dedolite","Profiler","51.8","38","50","1.8","Nearest size is 1.8 mm under the holder",""
"Derksen","GL80","50","42","50","0","",""
"Derksen","GL100","70","35","70","0","","Check with Manufacturing."
"Derksen","GL150","70","35","70","0","","Check with Manufacturing."
"Derksen","GL200","70","35","70","0","","Check with Manufacturing."
"Derksen","GL575","70","35","70","0","","Check with Manufacturing."
"Derksen","GL 700 - Rotating Gobo Cassette (Gobo Holder: Gobo Cassette)","70","55","70","0","","Check with Manufacturing."
"Derksen","GL 700 - Static (Gobo Holder: Static)","105","68","100","5","Nearest size is 5 mm under the holder","Check with Manufacturing."
"Derksen","GL 1200 - Rotating Gobo Cassette (Gobo Holder: Gobo Cassette)","70","55","70","0","","Check with Manufacturing."
"Derksen","GL 1200 - Static (Gobo Holder: Static)","105","68","100","5","Nearest size is 5 mm under the holder","Check with Manufacturing."
"Derksen","GL L 20 LED LAP","50","32","50","0","",""
"Derksen","GL L 60","70","25","70","0","","Check with Manufacturing."
"Derksen","Gobo Top","37.5","28","37.5","0","",""
"Derksen","Gobo Top Mini","37.5","28","37.5","0","",""
"Derksen","Graphic Spotlight","70","35","70","0","","Check with Manufacturing."
"Derksen","Opti Gobo Top","37.5","28","37.5","0","",""
"Derksen","Phos 15","30","20","29.9","0.1","",""
"Derksen","Phos 20","50","32","50","0","",""
"Derksen","PHOS 25","50","40","50","0","",""
"Derksen","Phos 40","50","40","50","0","","GoboPlus lists image 42mm - verify."
"Derksen","Phos 45","50","40","50","0","",""
"Derksen","Phos 65","50","40","50","0","",""
"Derksen","Phos 85","50","40","50","0","",""
"Derksen","PHOS 160","50","40","50","0","",""
"Derksen","Phos Mini","37.5","28","37.5","0","",""
"DHA","Chameleon","37.5","28","37.5","0","",""
"DHA","Gecko","37.5","28","37.5","0","",""
"Discotech","Logotech","44","35","44","0","",""
"DJ Pro","PR 111R","26.9","22","26.5","0.4","",""
"DTS","Bravoscan","29.8","24","27.8","2","Nearest size is 2 mm under the holder",""
"DTS","Core","13.9","7","","","No production size at or below 13.9 mm","Glass gobos only."
"DTS","Eco Spot LED 10","37.5","28","37.5","0","",""
"DTS","Ecolight 25 LED","53.3","40","53.3","0","",""
"DTS","Ecolight 50 Easy Gobo Projector","37.5","28","37.5","0","",""
"DTS","EVO","13.9","7","","","No production size at or below 13.9 mm","Glass gobos only."
"DTS","Jack","14","6","","","No production size at or below 14 mm",""
"DTS","Logotech","53.3","40","53.3","0","",""
"DTS","Max","13.9","7","","","No production size at or below 13.9 mm",""
"DTS","Movie Light 575","26.8","22","26.5","0.3","",""
"DTS","Profilo 500","86","48","86","0","",""
"DTS","Profilo 1000 Z 18/36","86","64.5","86","0","",""
"DTS","Profilo Compact","66","45","66","0","",""
"DTS","Profilo LED 80","66","48","66","0","",""
"DTS","Profilo LED 120","66","48","66","0","",""
"DTS","Profilo LED 200","86","60","86","0","",""
"DTS","Synergy 5 Profile","27.9","21","27.8","0.1","",""
"DTS","Synergy 5 Spot","27.9","21","27.8","0.1","",""
"DTS","Synergy 7 Profile","34.9","26","33.8","1.1","Nearest size is 1.1 mm under the holder","Glass gobos only."
"DTS","XM 1200","36.9","32","35.3","1.6","Nearest size is 1.6 mm under the holder",""
"DTS","XR 4","27.9","23","27.8","0.1","",""
"DTS","XR 5","27.9","23","27.8","0.1","",""
"DTS","XR 7","26.9","23","26.5","0.4","",""
